site,distance,n_tussocks,area
8_01_1,64,3,4
8_01_1,66,6,4
8_01_1,68,5,4
8_01_1,70,0,4
8_01_1,72,2,4
8_01_1,74,3,4
8_01_1,76,2,4
8_01_1,78,1,4
8_01_1,80,4,4
8_01_1,82,5,4
8_01_1,84,6,4
8_01_1,86,4,4
8_01_1,88,5,4
8_01_1,90,4,4
8_01_1,92,4,4
8_01_1,94,0,4
8_01_1,96,0,4
8_01_1,98,3,4
8_01_1,100,0,4
8_01_1,102,5,4
8_01_1,104,18,4
8_01_1,106,9,4
8_01_1,108,6,4
8_01_1,110,2,4
8_01_1,112,5,4
8_01_1,114,4,4
8_01_1,116,4,4
8_01_1,118,2,4
8_01_1,120,1,4
8_01_1,122,2,4
8_01_1,124,10,4
8_01_1,126,7,4
8_01_1,128,8,4
8_01_1,130,8,4
8_01_1,132,8,4
8_01_1,134,7,4
8_01_1,136,2,4
8_01_1,138,1,4
8_01_1,140,6,4
8_01_1,142,3,4
8_01_1,144,4,4
8_01_1,146,1,4
8_01_1,148,1,4
8_01_1,150,5,4
8_01_1,152,2,4
8_01_1,154,0,4
8_01_1,156,4,4
8_01_1,158,6,4
8_01_1,160,3,4
8_01_1,162,4,4
8_01_1,164,3,4
8_01_1,166,7,4
8_01_1,168,12,4
8_01_1,170,7,4
8_01_1,172,4,4
8_01_1,174,2,4
8_01_1,176,1,4
8_01_1,178,3,4
8_01_1,180,1,4
8_01_1,182,4,4
8_01_1,184,7,4
8_01_1,186,7,4
8_01_1,188,6,4
8_01_1,190,5,4
8_01_1,192,12,4
8_01_1,194,5,4
8_01_1,196,8,4
8_01_1,198,0,4
7_24_1,0,21,4
7_24_1,2,18,4
7_24_1,4,19,4
7_24_1,6,22,4
7_24_1,8,18,4
7_24_1,10,21,4
7_24_1,12,20,4
7_24_1,14,22,4
7_24_1,16,24,4
7_24_1,18,19,4
7_24_1,20,23,4
7_24_1,22,17,4
7_24_1,24,13,4
7_24_1,26,19,4
7_24_1,28,19,4
7_24_1,30,15,4
7_24_1,32,17,4
7_24_1,34,14,4
7_24_1,36,13,4
7_24_1,38,14,4
7_24_1,40,12,4
7_24_1,42,11,4
7_24_1,44,14,4
7_24_1,46,18,4
7_24_1,48,12,4
7_24_1,50,11,4
7_24_1,52,10,4
7_24_1,54,16,4
7_24_1,56,14,4
7_24_1,58,15,4
7_24_1,60,18,4
7_24_1,62,17,4
7_24_1,64,16,4
7_24_1,66,15,4
7_24_1,68,15,4
7_24_1,70,23,4
7_24_1,72,17,4
7_24_1,74,16,4
7_24_1,76,18,4
7_24_1,78,13,4
7_24_1,80,17,4
7_24_1,82,18,4
7_24_1,84,16,4
7_24_1,86,20,4
7_24_1,88,18,4
7_24_1,90,16,4
7_24_1,92,14,4
7_24_1,94,20,4
7_24_1,96,13,4
7_24_1,98,14,4
7_24_1,100,16,4
7_24_1,102,13,4
7_24_1,104,12,4
7_24_1,106,5,4
7_24_1,108,1,4
7_24_1,110,8,4
7_24_1,112,16,4
7_24_1,114,15,4
7_24_1,116,20,4
7_24_1,118,13,4
7_24_1,120,12,4
7_24_1,122,12,4
7_24_1,124,15,4
7_24_1,126,18,4
7_24_1,128,14,4
7_24_1,130,22,4
7_24_1,132,15,4
7_24_1,134,16,4
7_24_1,136,16,4
7_24_1,138,20,4
7_24_1,140,14,4
7_24_1,142,9,4
7_24_1,144,0,4
7_24_1,146,10,4
7_24_1,148,19,4
7_24_1,150,19,4
7_24_1,152,18,4
7_24_1,154,16,4
7_24_1,156,15,4
7_24_1,158,10,4
7_24_1,160,20,4
7_24_1,162,18,4
7_24_1,164,16,4
7_24_1,166,8,4
7_24_1,168,19,4
7_24_1,170,10,4
7_24_1,172,10,4
7_24_1,174,19,4
7_24_1,176,18,4
7_24_1,178,13,4
7_24_1,180,15,4
7_24_1,182,14,4
7_24_1,184,8,4
7_24_1,186,14,4
7_24_1,188,12,4
7_24_1,190,10,4
7_24_1,192,0,4
7_24_1,194,0,4
7_24_1,196,0,4
7_24_1,198,0,4
7_28_1,0,9,4
7_28_1,2,0,4
7_28_1,4,4,4
7_28_1,6,3,4
7_28_1,8,3,4
7_28_1,10,4,4
7_28_1,12,10,4
7_28_1,14,2,4
7_28_1,16,7,4
7_28_1,18,14,4
7_28_1,20,7,4
7_28_1,22,6,4
7_28_1,24,5,4
7_28_1,26,8,4
7_28_1,28,1,4
7_28_1,30,2,4
7_28_1,32,10,4
7_28_1,34,7,4
7_28_1,36,8,4
7_28_1,38,5,4
7_28_1,40,1,4
7_28_1,42,4,4
7_28_1,44,2,4
7_28_1,46,0,4
7_28_1,48,1,4
7_28_1,50,3,4
7_28_1,52,10,4
7_28_1,54,4,4
7_28_1,56,12,4
7_28_1,58,4,4
7_28_1,60,3,4
7_28_1,62,4,4
7_28_1,64,2,4
7_28_1,66,1,4
7_28_1,68,6,4
7_28_1,70,4,4
7_28_1,72,0,4
7_28_1,74,1,4
7_28_1,76,4,4
7_28_1,78,11,4
7_28_1,80,3,4
7_28_1,82,4,4
7_28_1,84,5,4
7_28_1,86,4,4
7_28_1,88,1,4
7_28_1,90,0,4
7_28_1,92,3,4
7_28_1,94,0,4
7_28_1,96,0,4
7_28_1,98,0,4
7_28_1,100,2,4
7_28_1,102,2,4
7_28_1,104,5,4
7_28_1,106,0,4
7_28_1,108,1,4
7_28_1,110,1,4
