MATLAB ID,Garden,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
935,SAG,1,2,145,14.5,100,10,3,24.5,73.5,354.2365168,1,2,76,7.6,111,11.1,3,18.7,56.1,273.8475202,3,,n,2,0,0
936,SAG,1,2,134,13.4,75,7.5,3,20.9,62.7,304.7394012,1,3,102,10.2,114,11.4,4,21.6,86.4,411.6445466,4,,n,3,3,0
937,SAG,2,2,145,14.5,95,9.5,4,24,96,453.1561862,2,2,115,11.5,119,11.9,4,23.4,93.6,442.8751255,4,,n,3,1,2
1724,TL,1,1,66,6.6,55,5.5,2,12.1,24.2,117.6533494,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1725,TL,1,2,112,11.2,53,5.3,3,16.5,49.5,242.4673576,1,1,31,3.1,70,7,2,10.1,20.2,97.26303849,2,,n,2,0,0
1726,TL,1,1,104,10.4,40,4,2,14.4,28.8,140.880485,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1727,TL,1,2,97,9.7,36,3.6,3,13.3,39.9,195.9518419,1,2,61,6.1,92,9.2,3,15.3,45.9,225.1451008,3,,n,2,0,0
1728,TL,1,1,68,6.8,55,5.5,2,12.3,24.6,119.6825162,1,0,42,4.2,,0,1,4.2,4.2,13.90829097,2,,n,2,0,0
1729,TL,1,2,100,10,53,5.3,3,15.3,45.9,225.1451008,2,1,37,3.7,85,8.5,3,12.2,36.6,179.7235413,2,,n,2,0,0
1730,TL,1,1,90,9,72,7.2,2,16.2,32.4,158.8927925,1,2,35,3.5,78,7.8,3,11.3,33.9,166.3550447,2,,n,2,0,0
1731,TL,1,2,113,11.3,42,4.2,3,15.5,46.5,228.042232,1,1,48,4.8,61,6.1,2,10.9,21.8,105.4406849,2,,n,2,0,0
