MATLAB ID,Garden,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
1,CF,0,2,93,9.3,61,6.1,2,15.4,30.8,150.9052575,1,1,126,12.6,54,5.4,2,18,36,176.7598262,2,loose tag,n,2,0,0
2,CF,0,3,86,8.6,147,14.7,3,23.3,69.9,337.8827521,1,2,162,16.2,161,16.1,3,32.3,96.9,456.994938,4,,n,2,0,3
3,CF,0,3,72,7.2,153,15.3,3,22.5,67.5,326.8995346,1,2,111,11.1,162,16.2,3,27.3,81.9,391.8303474,4,,n,2,0,0
4,CF,0,3,115,11.5,108,10.8,3,22.3,66.9,324.1436418,1,2,135,13.5,165,16.5,3,30,90,427.332473,4,,n,3,1,0
5,CF,0,3,111,11.1,124,12.4,3,23.5,70.5,340.618468,1,3,126,12.6,161,16.1,4,28.7,114.8,531.4573522,5,,n,3,1,0
6,CF,0,3,84,8.4,169,16.9,3,25.3,75.9,365.058319,1,3,131,13.1,206,20.6,4,33.7,134.8,610.4072178,5,loose tag,n,2,0,2
7,CF,0,2,42,4.2,69,6.9,2,11.1,22.2,107.4806127,1,2,82,8.2,100,10,3,18.2,54.6,266.758541,3,,n,3,1,0
8,CF,0,2,55,5.5,149,14.9,2,20.4,40.8,200.3565563,1,2,61,6.1,154,15.4,3,21.5,64.5,313.0797166,3,loose tag only 1 leaf____,n,2,0,0
9,CF,0,2,95,9.5,113,11.3,2,20.8,41.6,204.2642356,2,2,124,12.4,170,17,4,29.4,117.6,542.7802558,5,,n,3,1,0
10,CF,1,1,67,6.7,147,14.7,2,21.4,42.8,210.1123033,1,1,78,7.8,158,15.8,2,23.6,47.2,231.4171182,3,,n,2,0,0
11,CF,0,3,107,10.7,109,10.9,3,21.6,64.8,314.4662382,1,3,89,8.9,175,17.5,4,26.4,105.6,493.6347674,5,,n,2,0,0
12,CF,0,2,78,7.8,105,10.5,2,18.3,36.6,179.7235413,1,0,134,13.4,,0,1,13.4,13.4,62.18790083,2,,n,2,0,0
13,CF,1,3,70,7,148,14.8,4,21.8,87.2,415.143307,2,3,76,7.6,188,18.8,5,26.4,132,599.624159,5,loose tag,n,3,1,0
14,CF,1,1,28,2.8,78,7.8,2,10.6,21.2,102.3774303,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
15,CF,0,3,79,7.9,98,9.8,3,17.7,53.1,259.6443407,2,3,104,10.4,129,12.9,5,23.3,116.5,538.342453,5,,n,2,0,2
16,CF,1,2,104,10.4,165,16.5,3,26.9,80.7,386.5082248,2,0,123,12.3,44,4.4,2,16.7,33.4,163.8704296,2,"recorded as dead, but should be coded as ""2""",n,2,0,0
17,CF,1,2,144,14.4,152,15.2,3,29.6,88.8,422.1193058,1,1,127,12.7,70,7,2,19.7,39.4,193.5008551,2,,n,2,0,0
18,CF,2,2,162,16.2,186,18.6,4,34.8,139.2,627.1744677,2,3,167,16.7,184,18.4,5,35.1,175.5,757.223839,5,,n,3,1,1
19,CF,1,2,58,5.8,157,15.7,3,21.5,64.5,313.0797166,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
20,CF,1,1,42,4.2,106,10.6,2,14.8,29.6,144.8957745,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
21,CF,2,1,93,9.3,84,8.4,3,17.7,53.1,259.6443407,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
22,CF,1,2,100,10,152,15.2,3,25.2,75.6,363.7091246,1,2,82,8.2,119,11.9,3,20.1,60.3,293.5624853,3,,n,2,0,0
23,CF,1,1,121,12.1,145,14.5,2,26.6,53.2,260.1194054,1,1,127,12.7,30,3,2,15.7,31.4,153.9039459,2,,n,2,0,0
24,CF,0,3,147,14.7,175,17.5,3,32.2,96.6,455.7163629,2,2,157,15.7,136,13.6,4,29.3,117.2,541.1680786,5,,n,3,1,2
25,CF,0,2,60,6,152,15.2,2,21.2,42.4,208.1647409,1,3,95,9.5,154,15.4,4,24.9,99.6,468.4567157,5,,n,2,0,0
26,CF,0,3,108,10.8,154,15.4,3,26.2,78.6,377.1556696,1,2,95,9.5,73,7.3,3,16.8,50.4,246.7752228,3,,n,2,0,1
27,CF,1,3,105,10.5,181,18.1,4,28.6,114.4,529.8326206,2,2,190,19,225,22.5,4,41.5,166,724.6158362,5,,n,3,1,1
28,CF,1,3,122,12.2,197,19.7,4,31.9,127.6,582.5017954,2,2,155,15.5,100,10,4,25.5,102,478.576361,5,,n,2,0,0
29,CF,1,2,98,9.8,173,17.3,3,27.1,81.3,389.1713038,3,0,90,9,150,15,3,24,72,347.440103,4,daughter tiller,n,3,2,0
30,CF,1,3,192,19.2,162,16.2,4,35.4,141.6,636.2287716,2,2,155,15.5,188,18.8,4,34.3,137.2,619.579893,5,daughter tiller?,n,2,0,1
31,CF,2,2,122,12.2,176,17.6,4,29.8,119.2,549.2110293,2,2,215,21.5,265,26.5,4,48,192,811.454375,5,daughter tiller?,n,3,1,1
32,CF,2,1,105,10.5,152,15.2,3,25.7,77.1,370.4450077,1,1,135,13.5,116,11.6,2,25.1,50.2,245.8187041,3,,n,2,0,0
