MATLAB ID,Garden,Source,Cluster,Tussock,OTC (Y/N),TAG#,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2016 Stage Class,2016 Comment,Garden,Pop,Clstr,Tussock,OTC (Y/N),TAG#,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
123,CF,CF,8,A,N,7023,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
124,CF,CF,8,A,N,7024,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,0,0
125,CF,CF,8,A,N,7025,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
126,CF,CF,8,A,N,7026,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
127,CF,CF,8,B,N,7027,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
128,CF,CF,8,B,N,7028,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
129,CF,CF,8,B,N,7029,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
130,CF,CF,8,B,N,7030,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
131,CF,CF,8,B,N,7031,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,0,0
132,CF,CF,8,B,N,7032,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
133,CF,CF,8,B,N,7033,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
134,CF,CF,8,B,N,7034,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
135,CF,CF,8,B,N,7035,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
136,CF,CF,8,B,N,7036,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
137,CF,CF,8,B,N,7037,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
138,CF,CF,8,B,N,7038,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
139,CF,CF,8,C,N,7039,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,0,0
140,CF,CF,8,C,N,7040,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
141,CF,CF,8,C,N,7041,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
142,CF,CF,8,C,N,7042,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
143,CF,CF,8,C,N,7043,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
144,CF,CF,8,C,N,7044,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
145,CF,CF,8,C,N,7045,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
146,CF,CF,8,C,N,7046,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
147,CF,CF,8,C,N,7047,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
148,CF,CF,8,C,N,7048,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
149,CF,SAG,8,A,N,2257,1,3,40,4,42,4.2,4,8.2,32.8,160.8851925,2,,CF,SAG,8,A,N,2257,1,4,70,7,96,9.6,5,16.6,83,396.6947799,4,,n,2,0,0
150,CF,SAG,8,A,N,2258,0,4,61,6.1,91,9.1,4,15.2,60.8,295.8963339,3,,CF,SAG,8,A,N,2258,1,2,73,7.3,115,11.5,3,18.8,56.4,275.2622894,3,,n,2,0,0
151,CF,SAG,8,A,N,2259,0,3,42,4.2,54,5.4,3,9.6,28.8,140.880485,2,,CF,SAG,8,A,N,2259,1,2,77,7.7,83,8.3,3,16,48,235.2674054,3,flower bud,n,2,0,2
152,CF,SAG,8,A,N,2260,1,2,47,4.7,119,11.9,3,16.6,49.8,243.9043215,3,,CF,SAG,8,A,N,2260,1,3,126,12.6,135,13.5,4,26.1,104.4,488.6314402,5,check for s1,n,3,1,1
153,CF,SAG,8,A,N,2261,0,3,85,8.5,134,13.4,3,21.9,65.7,318.61975,3,,CF,SAG,8,A,N,2261,2,2,102,10.2,113,11.3,4,21.5,86,409.8924762,4,,n,3,1,3
154,CF,SAG,8,A,N,2263,1,3,62,6.2,84,8.4,4,14.6,58.4,284.6683031,3,,CF,SAG,8,A,N,2263,1,3,82,8.2,123,12.3,4,20.5,82,392.273129,4,,n,2,0,0
155,CF,SAG,8,A,N,2264,0,3,58,5.8,62,6.2,3,12,36,176.7598262,2,,CF,SAG,8,A,N,2264,2,3,91,9.1,60,6,5,15.1,75.5,363.259169,4,check s1 X2,n,2,0,3
156,CF,SAG,8,A,N,2265,0,3,58,5.8,88,8.8,3,14.6,43.8,214.9733627,3,,CF,SAG,8,A,N,2265,2,3,89,8.9,105,10.5,5,19.4,97,457.4209055,4,,n,3,1,1
157,CF,SAG,8,A,N,2266,1,3,65,6.5,84,8.4,4,14.9,59.6,290.2903893,3,,CF,SAG,8,A,N,2266,1,3,92,9.2,85,8.5,4,17.7,70.8,341.9848127,4,,n,2,0,0
158,CF,SAG,8,A,N,2267,0,3,55,5.5,65,6.5,3,12,36,176.7598262,2,,CF,SAG,8,A,N,2267,2,2,88,8.8,105,10.5,4,19.3,77.2,370.8931698,4,,n,3,1,0
159,CF,SAG,8,A,N,2268,0,3,61,6.1,90,9,3,15.1,45.3,222.2439341,3,,CF,SAG,8,A,N,2268,1,3,104,10.4,99,9.9,4,20.3,81.2,388.7277375,4,,n,2,0,0
160,CF,SAG,8,A,N,2269,2,1,55,5.5,135,13.5,3,19,57,278.0888015,3,,CF,SAG,8,A,N,2269,1,3,94,9.4,143,14.3,4,23.7,94.8,448.0237266,4,,n,2,0,0
161,CF,SAG,8,A,N,2270,1,2,76,7.6,76,7.6,3,15.2,45.6,223.6950218,3,,CF,SAG,8,A,N,2270,2,1,86,8.6,98,9.8,3,18.4,55.2,269.5971592,3,flower bud.  spruce seedling in tag,n,2,0,1
162,CF,SAG,8,A,N,2271,1,2,80,8,73,7.3,3,15.3,45.9,225.1451008,3,,CF,SAG,8,A,N,2271,1,3,95,9.5,132,13.2,4,22.7,90.8,430.7989503,4,loose tag,n,2,0,0
163,CF,SAG,8,A,N,2272,1,3,76,7.6,115,11.5,4,19.1,76.4,367.3047342,4,,CF,SAG,8,A,N,2272,1,3,148,14.8,161,16.1,4,30.9,123.6,566.7476923,5,,n,2,0,0
164,CF,SAG,8,A,N,2273,0,2,40,4,44,4.4,2,8.4,16.8,79.79025999,2,,CF,SAG,8,A,N,2273,0,0,0,0,0,0,0,0,0,-8.447833,6,dead. spruce seedling in tussock,n,1,0,0
165,CF,SAG,8,A,N,2274,1,3,82,8.2,115,11.5,4,19.7,78.8,378.048519,4,,CF,SAG,8,A,N,2274,1,3,103,10.3,143,14.3,4,24.6,98.4,463.3726807,4,,n,3,1,1
166,CF,SAG,8,B,N,2373,1,2,70,7,65,6.5,3,13.5,40.5,198.889327,2,,CF,SAG,8,B,N,2373,2,3,76,7.6,97,9.7,5,17.3,86.5,412.082284,4,,n,3,1,2
167,CF,SAG,8,B,N,2374,1,2,58,5.8,60,6,3,11.8,35.4,173.7920757,2,,CF,SAG,8,B,N,2374,1,3,62,6.2,87,8.7,4,14.9,59.6,290.2903893,3,,n,2,0,0
168,CF,SAG,8,B,N,2375,1,3,46,4.6,51,5.1,4,9.7,38.8,190.5559718,2,,CF,SAG,8,B,N,2375,1,2,70,7,63,6.3,3,13.3,39.9,195.9518419,2,,n,2,0,0
169,CF,SAG,8,B,N,2376,1,2,64,6.4,89,8.9,3,15.3,45.9,225.1451008,3,,CF,SAG,8,B,N,2376,1,3,71,7.1,110,11,4,18.1,72.4,349.2549461,4,,n,2,0,0
170,CF,SAG,8,B,N,2377,1,2,76,7.6,88,8.8,3,16.4,49.2,241.0293849,3,,CF,SAG,8,B,N,2377,1,3,70,7,126,12.6,4,19.6,78.4,376.2623719,4,contains s1's,n,2,0,1
171,CF,SAG,8,B,N,2378,1,3,62,6.2,63,6.3,4,12.5,50,244.861737,3,,CF,SAG,8,B,N,2378,1,3,62,6.2,78,7.8,4,14,56,273.3757062,3,,n,2,0,1
172,CF,SAG,8,B,N,2379,1,1,19,1.9,29,2.9,2,4.8,9.6,42.36133129,2,,CF,SAG,8,B,N,2379,1,1,40,4,17,1.7,2,5.7,11.4,51.77304115,2,,n,2,0,0
173,CF,SAG,8,B,N,2380,1,3,89,8.9,85,8.5,4,17.4,69.6,336.5133809,4,,CF,SAG,8,B,N,2380,2,2,105,10.5,99,9.9,4,20.4,81.6,390.50133,4,,n,2,0,0
174,CF,SAG,8,B,N,2381,0,2,57,5.7,78,7.8,2,13.5,27,131.8198535,2,,CF,SAG,8,B,N,2381,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
175,CF,SAG,8,B,N,2382,0,3,62,6.2,65,6.5,3,12.7,38.1,187.1151743,2,,CF,SAG,8,B,N,2382,1,2,70,7,85,8.5,3,15.5,46.5,228.042232,3,,n,2,0,0
176,CF,SAG,8,B,N,2383,1,3,112,11.2,120,12,4,23.2,92.8,439.4337573,4,,CF,SAG,8,B,N,2383,1,4,118,11.8,124,12.4,5,24.2,121,556.4113487,5,contains s1's,n,3,1,2
177,CF,SAG,8,B,N,2384,2,2,40,4,53,5.3,4,9.3,37.2,182.683221,2,,CF,SAG,8,B,N,2384,1,3,62,6.2,76,7.6,4,13.8,55.2,269.5971592,3,,n,2,0,1
178,CF,SAG,8,B,N,2385,1,3,57,5.7,68,6.8,4,12.5,50,244.861737,3,,CF,SAG,8,B,N,2385,1,3,89,8.9,92,9.2,4,18.1,72.4,349.2549461,4,,n,2,0,1
179,CF,SAG,8,B,N,2387,1,3,60,6,63,6.3,4,12.3,49.2,241.0293849,3,,CF,SAG,8,B,N,2387,1,4,75,7.5,108,10.8,5,18.3,91.5,433.826233,4,,n,3,1,1
180,CF,SAG,8,B,N,2388,1,3,75,7.5,85,8.5,4,16,64,310.7666054,3,,CF,SAG,8,B,N,2388,2,3,79,7.9,112,11.2,5,19.1,95.5,451.019623,4,watch for s1's,n,3,1,2
181,CF,SAG,8,B,N,2390,1,2,38,3.8,57,5.7,3,9.5,28.5,139.3729018,2,,CF,SAG,8,B,N,2390,1,3,68,6.8,86,8.6,4,15.4,61.6,299.6246628,3,,n,2,0,0
182,CF,SAG,8,B,N,2391,0,1,64,6.4,0,0,1,6.4,6.4,25.53972745,2,,CF,SAG,8,B,N,2391,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
183,CF,SAG,8,B,N,2392,2,2,23,2.3,44,4.4,4,6.7,26.8,130.8108748,2,,CF,SAG,8,B,N,2392,1,2,66,6.6,58,5.8,3,12.4,37.2,182.683221,2,,n,2,0,0
184,CF,SAG,8,C,N,5313,0,3,70,7,65,6.5,3,13.5,40.5,198.889327,2,,CF,SAG,8,C,N,5313,1,3,92,9.2,154,15.4,4,24.6,98.4,463.3726807,4,,n,2,0,0
185,CF,SAG,8,C,N,5324,1,3,69,6.9,77,7.7,4,14.6,58.4,284.6683031,3,,CF,SAG,8,C,N,5324,1,2,96,9.6,115,11.5,3,21.1,63.3,307.5235417,3,loose tag,n,2,0,0
186,CF,SAG,8,C,N,5327,1,2,64,6.4,81,8.1,3,14.5,43.5,213.5162218,3,,CF,SAG,8,C,N,5327,2,2,67,6.7,133,13.3,4,20,80,383.396199,4,,n,3,1,0
187,CF,SAG,8,C,N,5328,0,3,58,5.8,52,5.2,3,11,33,161.8807199,2,,CF,SAG,8,C,N,5328,2,2,65,6.5,74,7.4,4,13.9,55.6,271.4873294,3,loose tag,n,2,0,1
188,CF,SAG,8,C,N,5333,1,2,64,6.4,88,8.8,3,15.2,45.6,223.6950218,3,,CF,SAG,8,C,N,5333,1,3,114,11.4,59,5.9,4,17.3,69.2,334.6859833,4,,n,3,2,1
189,CF,SAG,8,C,N,5335,1,3,107,10.7,136,13.6,4,24.3,97.2,458.2725042,4,,CF,SAG,8,C,N,5335,1,2,90,9,128,12.8,3,21.8,65.4,317.2362549,3,"flowered, tag loose? may need to toss out",y,2,0,1
190,CF,SAG,8,C,N,5336,1,2,68,6.8,86,8.6,3,15.4,46.2,226.5941708,3,,CF,SAG,8,C,N,5336,1,2,103,10.3,133,13.3,3,23.6,70.8,341.9848127,4,,n,3,1,2
191,CF,SAG,8,C,N,5340,0,4,133,13.3,163,16.3,4,29.6,118.4,545.9992295,5,,CF,SAG,8,C,N,5340,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
192,CF,SAG,8,C,N,5341,1,3,98,9.8,99,9.9,4,19.7,78.8,378.048519,4,,CF,SAG,8,C,N,5341,1,3,114,11.4,170,17,4,28.4,113.6,526.5777767,5,tag loose,n,3,1,1
193,CF,SAG,8,C,N,5351,1,2,87,8.7,131,13.1,3,21.8,65.4,317.2362549,3,,CF,SAG,8,C,N,5351,1,2,79,7.9,158,15.8,3,23.7,71.1,343.3501486,4,,n,3,1,1
194,CF,SAG,8,C,N,5355,0,3,70,7,105,10.5,3,17.5,52.5,256.7915986,3,,CF,SAG,8,C,N,5355,2,2,70,7,132,13.2,4,20.2,80.8,386.9523515,4,,n,2,0,0
195,CF,SAG,8,C,N,5369,0,2,93,9.3,115,11.5,2,20.8,41.6,204.2642356,2,,CF,SAG,8,C,N,5369,1,0,146,14.6,,0,1,14.6,14.6,68.41529459,2,,n,2,0,0
196,CF,SAG,8,A,N,7049,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,0,0
197,CF,SAG,8,A,N,7050,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
198,CF,SAG,8,A,N,7051,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
199,CF,SAG,8,A,N,7052,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
200,CF,SAG,8,A,N,7053,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
201,CF,SAG,8,A,N,7054,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
202,CF,SAG,8,A,N,7055,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
203,CF,SAG,8,A,N,7056,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
204,CF,SAG,8,A,N,7057,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
205,CF,SAG,8,A,N,7058,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
206,CF,SAG,8,A,N,7059,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,0,0
207,CF,SAG,8,A,N,7060,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
208,CF,SAG,8,B,N,7061,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
209,CF,SAG,8,B,N,7062,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
