MATLAB ID,Garden,Source,Cluster,Tussock,OTC (Y/N),TAG#,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2016 Stage Class,2016 Comment,Garden,Pop,Clstr,Tussock,OTC (Y/N),TAG#,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
553,SAG,CF,4,B,N,3354,1,2,81,8.1,189,18.9,3,27,81,387.8402687,4,,SAG,CF,4,B,N,3354,1,2,191,19.1,90,9,3,28.1,84.3,402.426168,4,,n,3,1,1
554,SAG,CF,4,B,N,3356,1,1,171,17.1,105,10.5,2,27.6,55.2,269.5971592,3,,SAG,CF,4,B,N,3356,1,2,170,17,68,6.8,3,23.8,71.4,344.7144755,4,,n,2,0,0
555,SAG,CF,4,B,N,3357,1,1,101,10.1,191,19.1,2,29.2,58.4,284.6683031,3,,SAG,CF,4,B,N,3357,1,1,35,3.5,100,10,2,13.5,27,131.8198535,2,,n,2,0,0
556,SAG,CF,4,B,N,3358,1,2,215,21.5,117,11.7,3,33.2,99.6,468.4567157,5,,SAG,CF,4,B,N,3358,1,2,173,17.3,160,16,3,33.3,99.9,469.7252023,5,,n,3,1,2
557,SAG,CF,4,B,N,3359,2,1,195,19.5,208,20.8,3,40.3,120.9,556.0122838,5,,SAG,CF,4,B,N,3359,1,2,164,16.4,146,14.6,3,31,93,440.2947719,4,,n,3,1,2
558,SAG,CF,4,B,N,3360,1,1,120,12,201,20.1,2,32.1,64.2,311.6921862,3,,SAG,CF,4,B,N,3360,1,2,71,7.1,193,19.3,3,26.4,79.2,379.8328725,4,,n,2,0,0
559,SAG,CF,4,B,N,3361,1,1,145,14.5,64,6.4,2,20.9,41.8,205.2400345,3,,SAG,CF,4,B,N,3361,1,0,34,3.4,,0,1,3.4,3.4,9.665226428,2,,n,2,0,0
560,SAG,CF,4,C,N,3363,1,2,216,21.6,105,10.5,3,32.1,96.3,454.436779,4,,SAG,CF,4,C,N,3363,1,2,162,16.2,89,8.9,3,25.1,75.3,362.3589215,4,,n,2,0,0
561,SAG,CF,4,C,N,3364,1,1,82,8.2,87,8.7,2,16.9,33.8,165.8583459,2,,SAG,CF,4,C,N,3364,1,0,24,2.4,,0,1,2.4,2.4,4.351307288,2,,n,2,0,0
562,SAG,CF,4,C,N,3365,1,2,198,19.8,76,7.6,3,27.4,82.2,393.1583559,4,,SAG,CF,4,C,N,3365,3,2,196,19.6,122,12.2,5,31.8,159,699.9415439,5,,n,3,1,0
563,SAG,CF,4,C,N,3366,1,2,60,6,153,15.3,3,21.3,63.9,310.3036469,3,,SAG,CF,4,C,N,3366,0,2,113,11.3,127,12.7,2,24,48,235.2674054,3,,n,2,0,0
564,SAG,CF,4,C,N,3368,1,2,155,15.5,93,9.3,3,24.8,74.4,358.302259,4,,SAG,CF,4,C,N,3368,1,3,160,16,176,17.6,4,33.6,134.4,608.8721614,5,loose tag,n,3,2,0
565,SAG,CF,4,C,N,3373,1,2,329,32.9,90,9,3,41.9,125.7,575.0409592,5,,SAG,CF,4,C,N,3373,1,2,245,24.5,271,27.1,3,51.6,154.8,684.8733234,5,,n,3,2,0
566,SAG,CF,4,C,N,3374,0,2,117,11.7,29,2.9,2,14.6,29.2,142.8890265,2,,SAG,CF,4,C,N,3374,1,2,39,3.9,85,8.5,3,12.4,37.2,182.683221,2,,n,2,0,0
567,SAG,CF,4,C,N,3375,0,2,50,5,147,14.7,2,19.7,39.4,193.5008551,2,,SAG,CF,4,C,N,3375,1,2,58,5.8,129,12.9,3,18.7,56.1,273.8475202,3,,n,2,0,0
568,SAG,CF,4,C,N,3376,1,3,65,6.5,169,16.9,4,23.4,93.6,442.8751255,4,,SAG,CF,4,C,N,3376,1,2,109,10.9,50,5,3,15.9,47.7,233.8243884,3,see details on sheet,n,3,2,1
569,SAG,CF,4,C,N,3377,1,1,80,8,186,18.6,2,26.6,53.2,260.1194054,3,,SAG,CF,4,C,N,3377,1,2,143,14.3,190,19,3,33.3,99.9,469.7252023,5,loosey goosey tag,n,2,0,0
570,SAG,CF,4,C,N,3378,1,1,180,18,239,23.9,2,41.9,83.8,400.2240299,4,,SAG,CF,4,C,N,3378,1,2,135,13.5,184,18.4,3,31.9,95.7,451.8745846,4,,n,2,0,0
571,SAG,CF,4,C,N,3379,1,2,60,6,107,10.7,3,16.7,50.1,245.3402766,3,,SAG,CF,4,C,N,3379,1,1,97,9.7,124,12.4,2,22.1,44.2,216.9146478,3,,n,2,0,0
572,SAG,CF,4,C,N,3380,1,2,74,7.4,184,18.4,3,25.8,77.4,371.7891578,4,,SAG,CF,4,C,N,3380,0,3,118,11.8,148,14.8,3,26.6,79.8,382.5060399,4,,n,3,1,0
573,SAG,CF,4,C,N,3381,1,3,143,14.3,193,19.3,4,33.6,134.4,608.8721614,5,,SAG,CF,4,C,N,3381,1,2,82,8.2,124,12.4,3,20.6,61.8,300.5556241,3,,n,3,1,0
574,SAG,CF,4,C,N,3382,1,2,145,14.5,32,3.2,3,17.7,53.1,259.6443407,3,,SAG,CF,4,C,N,3382,1,1,98,9.8,125,12.5,2,22.3,44.6,218.8541394,3,loose tag,n,2,0,0
575,SAG,CF,4,C,N,3383,1,1,175,17.5,210,21,2,38.5,77,369.9967335,4,,SAG,CF,4,C,N,3383,1,0,60,6,,0,1,6,6,23.4289562,2,,n,2,0,0
576,SAG,CF,4,C,N,3384,0,2,151,15.1,93,9.3,2,24.4,48.8,239.1105186,3,,SAG,CF,4,C,N,3384,1,2,76,7.6,159,15.9,3,23.5,70.5,340.618468,4,,n,2,0,0
577,SAG,CF,4,A,N,7182,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
578,SAG,CF,4,B,N,7183,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
579,SAG,CF,4,B,N,7184,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
580,SAG,CF,4,B,N,7185,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
581,SAG,CF,4,B,N,7186,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
582,SAG,CF,4,B,N,7187,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
583,SAG,CF,4,C,N,7188,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
584,SAG,CF,9,A,Y,5201,1,1,35,3.5,104,10.4,2,13.9,27.8,135.8512846,2,,SAG,CF,9,A,Y,5201,1,1,105,10.5,30,3,2,13.5,27,131.8198535,2,,n,2,0,0
585,SAG,CF,9,A,Y,5217,1,1,52,5.2,109,10.9,2,16.1,32.2,157.8959199,2,,SAG,CF,9,A,Y,5217,1,1,141,14.1,36,3.6,2,17.7,35.4,173.7920757,2,,n,2,0,0
586,SAG,CF,9,A,Y,5222,1,2,60,6,195,19.5,3,25.5,76.5,367.753681,4,,SAG,CF,9,A,Y,5222,1,2,180,18,85,8.5,3,26.5,79.5,381.1699606,4,,n,2,0,0
587,SAG,CF,9,A,Y,5234,1,1,70,7,94,9.4,2,16.4,32.8,160.8851925,2,,SAG,CF,9,A,Y,5234,1,1,94,9.4,30,3,2,12.4,24.8,120.696427,2,,n,2,0,0
588,SAG,CF,9,A,Y,5250,1,1,50,5,144,14.4,2,19.4,38.8,190.5559718,2,,SAG,CF,9,A,Y,5250,0,1,116,11.6,,0,1,11.6,11.6,52.81654481,2,,n,2,0,0
589,SAG,CF,9,A,Y,5258,1,1,52,5.2,155,15.5,2,20.7,41.4,203.2879883,2,,SAG,CF,9,A,Y,5258,0,2,134,13.4,20,2,2,15.4,30.8,150.9052575,2,,n,2,0,0
590,SAG,CF,9,A,Y,5260,1,1,66,6.6,66,6.6,2,13.2,26.4,128.7915722,2,,SAG,CF,9,A,Y,5260,1,1,84,8.4,18,1.8,2,10.2,20.4,98.28681361,2,,n,2,0,0
591,SAG,CF,9,A,Y,5261,1,2,65,6.5,115,11.5,3,18,54,263.9158874,3,,SAG,CF,9,A,Y,5261,0,0,0,0,0,0,0,0,0,-8.447833,6,has daughters and flower (175),y,2,0,1
592,SAG,CF,9,A,Y,5268,1,1,62,6.2,112,11.2,2,17.4,34.8,170.8202898,2,,SAG,CF,9,A,Y,5268,1,1,116,11.6,48,4.8,2,16.4,32.8,160.8851925,2,,n,2,0,0
593,SAG,CF,9,A,Y,5278,1,1,21,2.1,170,17,2,19.1,38.2,187.6070531,2,,SAG,CF,9,A,Y,5278,1,1,105,10.5,56,5.6,2,16.1,32.2,157.8959199,2,,n,2,0,0
594,SAG,CF,9,A,Y,5280,1,2,72,7.2,197,19.7,3,26.9,80.7,386.5082248,4,,SAG,CF,9,A,Y,5280,1,2,178,17.8,55,5.5,3,23.3,69.9,337.8827521,4,,n,3,1,0
595,SAG,CF,9,A,Y,5281,1,1,72,7.2,153,15.3,2,22.5,45,220.7918375,3,,SAG,CF,9,A,Y,5281,1,1,112,11.2,110,11,2,22.2,44.4,217.8846178,3,,n,3,1,0
596,SAG,CF,9,A,Y,5293,1,1,51,5.1,60,6,2,11.1,22.2,107.4806127,2,,SAG,CF,9,A,Y,5293,1,1,138,13.8,30,3,2,16.8,33.6,164.8646119,2,,n,2,0,0
597,SAG,CF,9,A,Y,5294,1,1,83,8.3,108,10.8,2,19.1,38.2,187.6070531,2,,SAG,CF,9,A,Y,5294,0,2,115,11.5,25,2.5,2,14,28,136.8580214,2,,n,2,0,0
598,SAG,CF,9,A,Y,5297,1,1,45,4.5,161,16.1,2,20.6,41.2,202.3112927,2,,SAG,CF,9,A,Y,5297,1,1,115,11.5,102,10.2,2,21.7,43.4,213.030284,3,,n,2,0,0
599,SAG,CF,9,A,Y,5299,1,1,120,12,163,16.3,2,28.3,56.6,276.2049085,3,,SAG,CF,9,A,Y,5299,2,2,130,13,115,11.5,4,24.5,98,461.6744154,4,,n,3,2,2
600,SAG,CF,9,A,Y,5381,1,2,95,9.5,182,18.2,3,27.7,83.1,397.1363285,4,,SAG,CF,9,A,Y,5381,0,3,114,11.4,91,9.1,3,20.5,61.5,299.159014,3,,n,2,0,0
601,SAG,CF,9,A,Y,5434,1,2,54,5.4,122,12.2,3,17.6,52.8,258.2184741,3,,SAG,CF,9,A,Y,5434,1,2,117,11.7,102,10.2,3,21.9,65.7,318.61975,3,,n,2,0,0
602,SAG,CF,9,B,Y,3483,1,2,50,5,166,16.6,3,21.6,64.8,314.4662382,3,,SAG,CF,9,B,Y,3483,0,2,120,12,118,11.8,2,23.8,47.6,233.3431586,3,,n,2,0,0
603,SAG,CF,9,B,Y,3484,1,1,105,10.5,175,17.5,2,28,56,273.3757062,3,,SAG,CF,9,B,Y,3484,1,2,197,19.7,110,11,3,30.7,92.1,436.4166751,4,,n,2,0,0
604,SAG,CF,9,B,Y,3485,2,1,148,14.8,183,18.3,3,33.1,99.3,467.1872202,5,,SAG,CF,9,B,Y,3485,1,1,184,18.4,92,9.2,2,27.6,55.2,269.5971592,3,,n,2,0,0
605,SAG,CF,9,B,Y,3486,1,1,90,9,146,14.6,2,23.6,47.2,231.4171182,3,,SAG,CF,9,B,Y,3486,1,1,137,13.7,65,6.5,2,20.2,40.4,198.4000264,2,,n,2,0,0
606,SAG,CF,9,B,Y,3488,1,2,70,7,187,18.7,3,25.7,77.1,370.4450077,4,,SAG,CF,9,B,Y,3488,1,1,205,20.5,136,13.6,2,34.1,68.2,330.1096427,3,,n,2,0,0
607,SAG,CF,9,B,Y,3489,2,2,241,24.1,190,19,4,43.1,172.4,746.6945301,5,,SAG,CF,9,B,Y,3489,1,1,173,17.3,171,17.1,2,34.4,68.8,332.8567922,4,,n,2,0,0
608,SAG,CF,9,B,Y,3490,1,1,75,7.5,152,15.2,2,22.7,45.4,222.7277421,3,,SAG,CF,9,B,Y,3490,1,1,145,14.5,37,3.7,2,18.2,36.4,178.7360846,2,,n,2,0,0
609,SAG,CF,9,B,Y,3491,1,2,69,6.9,205,20.5,3,27.4,82.2,393.1583559,4,,SAG,CF,9,B,Y,3491,1,1,123,12.3,114,11.4,2,23.7,47.4,232.3803626,3,,n,2,0,0
610,SAG,CF,9,B,Y,3492,1,1,135,13.5,204,20.4,2,33.9,67.8,328.2759678,3,,SAG,CF,9,B,Y,3492,1,2,130,13,88,8.8,3,21.8,65.4,317.2362549,3,,n,2,0,0
611,SAG,CF,9,B,Y,3493,1,0,116,11.6,0,0,1,11.6,11.6,52.81654481,2,,SAG,CF,9,B,Y,3493,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
612,SAG,CF,9,B,Y,3494,1,1,102,10.2,155,15.5,2,25.7,51.4,251.5510907,3,,SAG,CF,9,B,Y,3494,1,1,117,11.7,103,10.3,2,22,44,215.9442294,3,,n,2,0,0
613,SAG,CF,9,B,Y,3495,1,2,84,8.4,173,17.3,3,25.7,77.1,370.4450077,4,,SAG,CF,9,B,Y,3495,1,1,167,16.7,94,9.4,2,26.1,52.2,255.3637143,3,,n,2,0,0
614,SAG,CF,9,B,Y,3496,1,1,86,8.6,217,21.7,2,30.3,60.6,294.9631307,3,,SAG,CF,9,B,Y,3496,1,1,174,17.4,102,10.2,2,27.6,55.2,269.5971592,3,,n,2,0,0
615,SAG,CF,9,B,Y,3497,1,0,52,5.2,0,0,1,5.2,5.2,19.20203319,2,,SAG,CF,9,B,Y,3497,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
616,SAG,CF,9,B,Y,3498,2,1,51,5.1,223,22.3,3,27.4,82.2,393.1583559,4,,SAG,CF,9,B,Y,3498,1,1,190,19,114,11.4,2,30.4,60.8,295.8963339,3,,n,2,0,0
617,SAG,CF,9,B,Y,3499,1,1,130,13,157,15.7,2,28.7,57.4,279.970901,3,,SAG,CF,9,B,Y,3499,1,2,210,21,110,11,3,32,96,453.1561862,4,,n,2,0,0
618,SAG,CF,9,B,Y,3500,2,1,115,11.5,162,16.2,3,27.7,83.1,397.1363285,4,,SAG,CF,9,B,Y,3500,1,1,172,17.2,100,10,2,27.2,54.4,265.8114382,3,,n,2,0,0
619,SAG,CF,9,C,Y,2354,1,2,185,18.5,69,6.9,3,25.4,76.2,366.4065044,4,,SAG,CF,9,C,Y,2354,1,3,144,14.4,129,12.9,4,27.3,109.2,508.5479001,5,,n,3,2,0
620,SAG,CF,9,C,Y,2355,1,2,80,8,160,16,3,24,72,347.440103,4,,SAG,CF,9,C,Y,2355,1,0,42,4.2,0,0,1,4.2,4.2,13.90829097,2,dying,n,2,0,0
621,SAG,CF,9,C,Y,2356,1,1,71,7.1,32,3.2,2,10.3,20.6,99.31014035,2,,SAG,CF,9,C,Y,2356,1,1,60,6,36,3.6,2,9.6,19.2,92.13743727,2,,n,2,0,0
622,SAG,CF,9,C,Y,2358,1,1,72,7.2,160,16,2,23.2,46.4,227.559657,3,,SAG,CF,9,C,Y,2358,1,2,140,14,30,3,3,17,51,249.6420887,3,,n,2,0,0
623,SAG,CF,9,C,Y,2359,1,1,70,7,195,19.5,2,26.5,53,259.1691639,3,,SAG,CF,9,C,Y,2359,1,2,204,20.4,126,12.6,3,33,99,465.9167159,4,,n,3,1,0
624,SAG,CF,9,C,Y,2360,1,1,40,4,136,13.6,2,17.6,35.2,172.8019288,2,,SAG,CF,9,C,Y,2360,1,1,115,11.5,63,6.3,2,17.8,35.6,174.7817742,2,,n,3,1,0
625,SAG,CF,9,C,Y,2361,2,2,108,10.8,176,17.6,4,28.4,113.6,526.5777767,5,,SAG,CF,9,C,Y,2361,1,2,150,15,72,7.2,3,22.2,66.6,322.7641821,3,,n,2,0,0
626,SAG,CF,9,C,Y,2362,1,2,144,14.4,162,16.2,3,30.6,91.8,435.1219585,4,,SAG,CF,9,C,Y,2362,0,1,140,14,0,0,1,14,14,65.3036154,2,,n,2,0,0
627,SAG,CF,9,C,Y,2363,1,1,112,11.2,224,22.4,2,33.6,67.2,325.5220926,3,,SAG,CF,9,C,Y,2363,1,2,126,12.6,213,21.3,3,33.9,101.7,477.3149363,5,,n,2,0,0
628,SAG,CF,9,C,Y,2364,1,1,74,7.4,134,13.4,2,20.8,41.6,204.2642356,2,,SAG,CF,9,C,Y,2364,1,1,168,16.8,57,5.7,2,22.5,45,220.7918375,3,,n,2,0,0
629,SAG,CF,9,C,Y,2365,1,1,65,6.5,110,11,2,17.5,35,171.8113335,2,,SAG,CF,9,C,Y,2365,1,1,163,16.3,32,3.2,2,19.5,39,191.5380479,2,,n,2,0,0
630,SAG,CF,9,C,Y,2366,1,1,37,3.7,81,8.1,2,11.8,23.6,114.6062363,2,,SAG,CF,9,C,Y,2366,0,2,153,15.3,36,3.6,2,18.9,37.8,185.6388654,2,,n,2,0,0
631,SAG,CF,9,C,Y,2367,1,1,53,5.3,154,15.4,2,20.7,41.4,203.2879883,2,,SAG,CF,9,C,Y,2367,0,2,90,9,16,1.6,2,10.6,21.2,102.3774303,2,,n,2,0,0
632,SAG,CF,9,C,Y,2368,1,1,61,6.1,108,10.8,2,16.9,33.8,165.8583459,2,,SAG,CF,9,C,Y,2368,0,2,112,11.2,60,6,2,17.2,34.4,168.8368574,2,,n,2,0,0
633,SAG,CF,9,C,Y,2369,1,2,85,8.5,226,22.6,3,31.1,93.3,441.5854531,4,,SAG,CF,9,C,Y,2369,1,0,40,4,0,0,1,4,4,12.8481974,2,dying,n,2,0,1
634,SAG,CF,9,C,Y,2370,1,2,25,2.5,174,17.4,3,19.9,59.7,290.7581679,3,,SAG,CF,9,C,Y,2370,1,1,120,12,97,9.7,2,21.7,43.4,213.030284,3,,n,2,0,0
635,SAG,CF,9,C,Y,2371,1,2,80,8,194,19.4,3,27.4,82.2,393.1583559,4,,SAG,CF,9,C,Y,2371,1,1,197,19.7,72,7.2,2,26.9,53.8,262.9674395,3,,n,2,0,0
636,SAG,CF,9,C,Y,2372,1,1,73,7.3,115,11.5,2,18.8,37.6,184.654099,2,,SAG,CF,9,C,Y,2372,1,0,45,4.5,0,0,1,4.5,4.5,15.49759063,2,dying,n,2,0,0
637,SAG,CF,9,A,Y,7189,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
638,SAG,CF,9,A,Y,7190,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
639,SAG,CF,9,A,Y,7191,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
640,SAG,CF,9,C,Y,7192,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
641,SAG,CF,10,A,N,3326,1,2,103,10.3,143,14.3,3,24.6,73.8,355.5927731,4,,SAG,CF,10,A,N,3326,2,1,75,7.5,119,11.9,3,19.4,58.2,283.7297195,3,,n,2,0,1
642,SAG,CF,10,A,N,3327,1,1,48,4.8,58,5.8,2,10.6,21.2,102.3774303,2,,SAG,CF,10,A,N,3327,1,0,57,5.7,0,0,1,5.7,5.7,21.84470078,2,,n,2,0,0
643,SAG,CF,10,A,N,3328,1,1,90,9,211,21.1,2,30.1,60.2,293.0953793,3,,SAG,CF,10,A,N,3328,1,1,115,11.5,142,14.2,2,25.7,51.4,251.5510907,3,,n,2,0,0
644,SAG,CF,10,A,N,3329,0,3,133,13.3,122,12.2,3,25.5,76.5,367.753681,4,,SAG,CF,10,A,N,3329,1,2,79,7.9,113,11.3,3,19.2,57.6,280.9112782,3,,n,2,0,2
645,SAG,CF,10,A,N,3331,1,3,150,15,155,15.5,4,30.5,122,560.395833,5,,SAG,CF,10,A,N,3331,0,2,72,7.2,71,7.1,2,14.3,28.6,139.8755416,2,,n,2,0,1
646,SAG,CF,10,A,N,3332,1,2,150,15,87,8.7,3,23.7,71.1,343.3501486,4,,SAG,CF,10,A,N,3332,1,1,38,3.8,110,11,2,14.8,29.6,144.8957745,2,,n,2,0,0
647,SAG,CF,10,A,N,3333,1,2,140,14,190,19,3,33,99,465.9167159,4,,SAG,CF,10,A,N,3333,2,1,79,7.9,146,14.6,3,22.5,67.5,326.8995346,3,,n,3,1,0
648,SAG,CF,10,A,N,3334,1,1,45,4.5,84,8.4,2,12.9,25.8,125.7592556,2,,SAG,CF,10,A,N,3334,1,0,26,2.6,0,0,1,2.6,2.6,5.414987868,2,,n,2,0,0
649,SAG,CF,10,A,N,3335,1,2,139,13.9,61,6.1,3,20,60,292.160831,3,,SAG,CF,10,A,N,3335,1,2,91,9.1,159,15.9,3,25,75,361.0077095,4,,n,3,1,0
650,SAG,CF,10,A,N,3336,1,2,115,11.5,181,18.1,3,29.6,88.8,422.1193058,4,,SAG,CF,10,A,N,3336,2,1,114,11.4,172,17.2,3,28.6,85.8,409.0157684,4,,n,2,0,0
651,SAG,CF,10,A,N,3337,1,1,130,13,116,11.6,2,24.6,49.2,241.0293849,3,,SAG,CF,10,A,N,3337,1,1,98,9.8,96,9.6,2,19.4,38.8,190.5559718,2,,n,2,0,0
652,SAG,CF,10,A,N,3338,0,3,160,16,102,10.2,3,26.2,78.6,377.1556696,4,,SAG,CF,10,A,N,3338,1,3,116,11.6,142,14.2,4,25.8,103.2,483.6119714,5,,n,3,1,0
653,SAG,CF,10,A,N,3339,1,2,218,21.8,78,7.8,3,29.6,88.8,422.1193058,4,,SAG,CF,10,A,N,3339,2,1,95,9.5,161,16.1,3,25.6,76.8,369.0998488,4,,n,2,0,0
654,SAG,CF,10,A,N,3340,1,1,95,9.5,135,13.5,2,23,46,225.6282362,3,,SAG,CF,10,A,N,3340,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
655,SAG,CF,10,A,N,3342,1,2,50,5,147,14.7,3,19.7,59.1,287.949815,3,,SAG,CF,10,A,N,3342,1,0,66,6.6,0,0,1,6.6,6.6,26.59444051,2,,n,2,0,0
656,SAG,CF,10,A,N,3343,1,3,129,12.9,141,14.1,4,27,108,503.5929974,5,,SAG,CF,10,A,N,3343,1,1,62,6.2,81,8.1,2,14.3,28.6,139.8755416,2,1 clipped,n,3,1,1
657,SAG,CF,10,B,N,2076,0,2,165,16.5,184,18.4,2,34.9,69.8,337.4264071,4,,SAG,CF,10,B,N,2076,2,2,175,17.5,225,22.5,4,40,160,703.500071,5,loose tag,n,3,1,0
658,SAG,CF,10,B,N,2077,0,2,174,17.4,117,11.7,2,29.1,58.2,283.7297195,3,,SAG,CF,10,B,N,2077,2,1,132,13.2,154,15.4,3,28.6,85.8,409.0157684,4,,n,2,0,0
659,SAG,CF,10,B,N,2078,0,2,90,9,151,15.1,2,24.1,48.2,236.2288563,3,,SAG,CF,10,B,N,2078,1,2,54,5.4,122,12.2,3,17.6,52.8,258.2184741,3,,n,2,0,0
660,SAG,CF,10,B,N,2079,1,2,76,7.6,201,20.1,3,27.7,83.1,397.1363285,4,,SAG,CF,10,B,N,2079,1,2,120,12,199,19.9,3,31.9,95.7,451.8745846,4,,n,3,1,0
661,SAG,CF,10,B,N,2080,2,1,110,11,194,19.4,3,30.4,91.2,432.5294987,4,,SAG,CF,10,B,N,2080,1,2,125,12.5,200,20,3,32.5,97.5,459.5490616,4,loose tag,n,2,0,0
662,SAG,CF,10,B,N,2081,2,1,187,18.7,205,20.5,3,39.2,117.6,542.7802558,5,,SAG,CF,10,B,N,2081,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
663,SAG,CF,10,B,N,2083,1,1,175,17.5,51,5.1,2,22.6,45.2,221.760014,3,,SAG,CF,10,B,N,2083,0,2,155,15.5,15,1.5,2,17,34,166.8516314,2,,n,2,0,0
664,SAG,CF,10,B,N,2084,1,1,167,16.7,122,12.2,2,28.9,57.8,281.851207,3,,SAG,CF,10,B,N,2084,2,2,135,13.5,156,15.6,4,29.1,116.4,537.9383438,5,,n,2,0,0
665,SAG,CF,10,B,N,2085,1,3,149,14.9,176,17.6,4,32.5,130,591.868169,5,,SAG,CF,10,B,N,2085,2,2,96,9.6,140,14,4,23.6,94.4,446.3093198,4,,n,2,0,0
666,SAG,CF,10,B,N,2086,1,1,80,8,156,15.6,2,23.6,47.2,231.4171182,3,,SAG,CF,10,B,N,2086,1,0,68,6.8,,0,1,6.8,6.8,27.64870519,2,,n,2,0,0
667,SAG,CF,10,B,N,2087,1,2,203,20.3,213,21.3,3,41.6,124.8,571.492755,5,,SAG,CF,10,B,N,2087,2,1,61,6.1,186,18.6,3,24.7,74.1,356.9480204,4,loose and leaves from other tagged tillers,n,2,0,0
668,SAG,CF,10,B,N,2088,1,1,113,11.3,215,21.5,2,32.8,65.6,318.158697,3,,SAG,CF,10,B,N,2088,1,2,55,5.5,196,19.6,3,25.1,75.3,362.3589215,4,1 new leaf has damage,n,2,0,0
669,SAG,CF,10,B,N,2089,1,1,35,3.5,160,16,2,19.5,39,191.5380479,2,,SAG,CF,10,B,N,2089,1,2,64,6.4,176,17.6,3,24,72,347.440103,4,loose tag,n,2,0,0
670,SAG,CF,10,B,N,2090,1,1,154,15.4,212,21.2,2,36.6,73.2,352.8792518,4,,SAG,CF,10,B,N,2090,1,1,81,8.1,110,11,2,19.1,38.2,187.6070531,2,,n,2,0,0
671,SAG,CF,10,B,N,2091,1,1,103,10.3,263,26.3,2,36.6,73.2,352.8792518,4,,SAG,CF,10,B,N,2091,2,1,185,18.5,252,25.2,3,43.7,131.1,596.1395122,5,loose tag,n,3,1,0
672,SAG,CF,10,B,N,2092,1,1,110,11,190,19,2,30,60,292.160831,3,,SAG,CF,10,B,N,2092,2,2,175,17.5,210,21,4,38.5,154,681.9807674,5,loose tag,n,3,2,0
673,SAG,CF,10,B,N,2093,1,2,95,9.5,215,21.5,3,31,93,440.2947719,4,,SAG,CF,10,B,N,2093,2,1,120,12,216,21.6,3,33.6,100.8,473.5246091,5,,n,2,0,0
674,SAG,CF,10,C,N,3308,0,2,77,7.7,150,15,2,22.7,45.4,222.7277421,3,,SAG,CF,10,C,N,3308,2,2,182,18.2,183,18.3,4,36.5,146,652.6606362,5,,n,3,2,1
675,SAG,CF,10,C,N,3309,1,2,126,12.6,127,12.7,3,25.3,75.9,365.058319,4,,SAG,CF,10,C,N,3309,2,2,120,12,177,17.7,4,29.7,118.8,547.6060262,5,,n,3,3,0
676,SAG,CF,10,C,N,3310,1,1,46,4.6,170,17,2,21.6,43.2,212.0580722,3,,SAG,CF,10,C,N,3310,0,1,68,6.8,,0,1,6.8,6.8,27.64870519,2,,n,2,0,0
677,SAG,CF,10,C,N,3311,1,2,130,13,93,9.3,3,22.3,66.9,324.1436418,3,,SAG,CF,10,C,N,3311,2,2,116,11.6,164,16.4,4,28,112,520.046567,5,,n,3,1,0
678,SAG,CF,10,C,N,3312,1,2,50,5,180,18,3,23,69,333.7716119,4,,SAG,CF,10,C,N,3312,1,1,31,3.1,74,7.4,2,10.5,21,101.3554487,2,,n,2,0,0
679,SAG,CF,10,C,N,3313,1,1,82,8.2,48,4.8,2,13,26,126.7704762,2,,SAG,CF,10,C,N,3313,1,0,36,3.6,0,0,1,3.6,3.6,10.72666513,2,,n,2,0,0
680,SAG,CF,10,C,N,3314,1,1,141,14.1,126,12.6,2,26.7,53.4,261.0691984,3,,SAG,CF,10,C,N,3314,1,3,153,15.3,163,16.3,4,31.6,126.4,577.7943962,5,,n,3,2,0
681,SAG,CF,10,C,N,3315,2,1,75,7.5,174,17.4,3,24.9,74.7,359.6554887,4,,SAG,CF,10,C,N,3315,1,1,35,3.5,76,7.6,2,11.1,22.2,107.4806127,2,,n,2,0,0
